review_number,block,block_chronology,block_position
33571,WorkbenchActionBuilder_19,mei,mesmo arquivo
33571,WorkbenchActionBuilder_2,mei,mesmo arquivo
33571,WorkbenchActionBuilder_20,mei,mesmo arquivo
33571,WorkbenchActionBuilder_21,mei,mesmo arquivo
33571,WorkbenchActionBuilder_22,mei,mesmo arquivo
33571,WorkbenchActionBuilder_23,mei,mesmo arquivo
33571,WorkbenchActionBuilder_25,mei,mesmo arquivo
33571,WorkbenchActionBuilder_26,mei,mesmo arquivo
33571,WorkbenchActionBuilder_27,mei,mesmo arquivo
33571,WorkbenchActionBuilder_3,mei,mesmo arquivo
33571,WorkbenchActionBuilder_4,mei,ambos
33571,WorkbenchActionBuilder_5,mei,mesmo arquivo
33571,WorkbenchActionBuilder_6,mei,mesmo arquivo
33571,WorkbenchActionBuilder_7,mei,mesmo arquivo
33571,WorkbenchActionBuilder_8,mei,mesmo arquivo
34100,BeanPropertyHelper_0,ini/mei/final,mesmo arquivo
34100,BeanPropertyHelper_1,ini/mei/final,mesmo arquivo
34184,ShowViewDialog_10,unique/ini/mei/final,mesmo arquivo
34184,ShowViewDialog_11,unique/ini/mei/final,mesmo arquivo
34184,ShowViewDialog_12,unique/ini/mei/final,mesmo arquivo
34184,ShowViewDialog_7,unique/ini/mei/final,mesmo arquivo
34184,ShowViewDialog_8,unique/ini/mei/final,ambos
34184,ShowViewDialog_9,unique/ini/mei/final,ambos
34184,ViewContentProvider_18,unique/ini/mei/final,mesmo arquivo
34184,ViewContentProvider_19,unique/ini/mei/final,mesmo arquivo
34184,ViewContentProvider_20,unique/ini/mei/final,mesmo arquivo
34184,ViewLabelProvider_23,unique/ini/mei/final,mesmo arquivo
34184,ViewLabelProvider_24,unique/ini/mei/final,mesmo arquivo
34184,ViewLabelProvider_25,unique/ini/mei/final,mesmo arquivo
34290,RawIViewPart_5,unique/ini/mei/final,mesmo arquivo
34400,ArrayUtil_0,mei,mesmo arquivo
34400,ArrayUtil_1,mei,mesmo arquivo
34400,ArrayUtil_2,mei,mesmo arquivo
34400,ArrayUtil_0_rev_3,mei/final,mesmo arquivo
34400,ArrayUtil_1_rev_3,mei/final,mesmo arquivo
34400,ArrayUtil_2_rev_3,mei/final,mesmo arquivo
34472,E4Application_0,ini/mei,mesmo arquivo
34472,E4Application_0_rev_3,mei,mesmo arquivo
34472,E4Application_0_rev_5,mei/final,mesmo arquivo
34708,WorkbenchPage_10,unique/ini,mesmo arquivo
34708,WorkbenchPage_12,unique/ini,mesmo arquivo
34708,WorkbenchPage_13,unique/ini,mesmo arquivo
34708,WorkbenchPage_14,unique/ini,mesmo arquivo
34708,WorkbenchPage_15,unique/ini,mesmo arquivo
34708,WorkbenchPage_4,unique/ini,mesmo arquivo
34708,WorkbenchPage_6,unique/ini,mesmo arquivo
34708,WorkbenchPage_7,unique/ini,mesmo arquivo
34708,WorkbenchPage_9,unique/ini,mesmo arquivo
35662,Snippet025TabEditing_0,unique/ini/mei/final,arquivo diferente
35843,LayoutConstraintsView_22,ini/mei/final,mesmo arquivo
35843,PropertySheetAuto_27,ini/mei/final,mesmo arquivo
35917,ShowViewDialog_10,unique/ini/mei/final,mesmo arquivo
35917,ShowViewDialog_11,unique/ini/mei/final,mesmo arquivo
35917,ShowViewDialog_12,unique/ini/mei/final,mesmo arquivo
35917,ShowViewDialog_7,unique/ini/mei/final,mesmo arquivo
35917,ShowViewDialog_8,unique/ini/mei/final,ambos
35917,ShowViewDialog_9,unique/ini/mei/final,ambos
35917,ViewContentProvider_17,unique/ini/mei/final,arquivo diferente
35917,ViewContentProvider_18,unique/ini/mei/final,ambos
35917,ViewContentProvider_20,unique/ini/mei/final,mesmo arquivo
35917,ViewLabelProvider_23,unique/ini/mei/final,mesmo arquivo
35917,ViewLabelProvider_24,unique/ini/mei/final,mesmo arquivo
35917,ViewLabelProvider_25,unique/ini/mei/final,mesmo arquivo
35924,FilteredTree_0,mei/final,mesmo arquivo
35972,Snippet053StartEditorWithContextMenu_9,ini/mei/final,arquivo diferente
35978,ShowViewDialog_10,ini/mei/final,mesmo arquivo
35978,ShowViewDialog_11,ini/mei/final,mesmo arquivo
35978,ShowViewDialog_6,ini/mei/final,mesmo arquivo
35978,ShowViewDialog_7,ini/mei/final,ambos
35978,ShowViewDialog_8,ini/mei/final,ambos
35978,ShowViewDialog_9,ini/mei/final,mesmo arquivo
35978,ViewContentProvider_16,ini/mei/final,arquivo diferente
35978,ViewContentProvider_17,ini/mei/final,ambos
35978,ViewContentProvider_19,unique/ini,mesmo arquivo
35978,ViewLabelProvider_22,unique/ini,mesmo arquivo
35978,ViewLabelProvider_23,unique/ini,mesmo arquivo
35978,ViewLabelProvider_24,unique/ini,mesmo arquivo
35978,ViewContentProvider_18,mei/final,mesmo arquivo
35978,ViewContentProvider_20,mei/final,mesmo arquivo
35978,ViewLabelProvider_23_rev_1,mei/final,mesmo arquivo
35978,ViewLabelProvider_24_rev_1,mei/final,mesmo arquivo
35978,ViewLabelProvider_25,mei/final,mesmo arquivo
36079,ShowViewDialog_10,ini/mei/final,mesmo arquivo
36079,ShowViewDialog_11,ini/mei/final,mesmo arquivo
36079,ShowViewDialog_6,ini/mei/final,mesmo arquivo
36079,ShowViewDialog_7,ini/mei/final,ambos
36079,ShowViewDialog_8,ini/mei/final,ambos
36079,ShowViewDialog_9,ini/mei/final,mesmo arquivo
36079,ViewContentProvider_16,ini/mei/final,arquivo diferente
36079,ViewContentProvider_17,ini/mei/final,ambos
36079,ViewContentProvider_18,ini/mei/final,mesmo arquivo
36079,ViewContentProvider_20,ini/mei/final,mesmo arquivo
36079,ViewLabelProvider_23,ini/mei/final,mesmo arquivo
36079,ViewLabelProvider_24,ini/mei/final,mesmo arquivo
36079,ViewLabelProvider_25,ini/mei/final,mesmo arquivo
