review_number,categoria,move_block
2017,,no_clone,
2019,,no_clone,
2020,,no_clone,
2021,,no_clone,
2024,,no_clone,
2025,,no_clone,
2044,,no_clone,
2045,,no_clone,
2046,,no_clone,
2047,,no_clone,
2060,,no_clone,
2061,,no_clone,
2078,,no_clone,
2079,,no_clone,
2080,,no_clone,
2084,,no_clone,
2085,,no_clone,
2086,,no_clone,
2087,GitPreferenceRoot_7,review with at least one clone,mesmo arquivo
2091,,no_clone,
2092,,no_clone,
2094,,no_clone,
2103,,no_clone,
2107,,no_clone,
2108,,no_clone,
2121,,no_clone,
2122,,no_clone,
2123,,no_clone,
2140,,no_clone,
2144,,no_clone,
2146,,no_clone,
2150,,no_clone,
2151,,no_clone,
2152,,no_clone,
2154,,no_clone,
2164,,no_clone,
2206,Activator_2,review with at least one clone,mesmo arquivo
2210,Activator_2,review with at least one clone,mesmo arquivo
2220,,no_clone,
2226,,no_clone,
2229,,no_clone,
2239,,no_clone,
2241,,no_clone,
2242,,no_clone,
2243,,no_clone,
2244,,no_clone,
2247,,no_clone,
2250,,no_clone,
2251,,no_clone,
2254,,no_clone,
2255,,uninteresting_clone,
2258,,no_clone,
2259,,no_clone,
2261,,no_clone,
2268,,no_clone,
2269,,no_clone,
2273,,no_clone,
2274,,no_clone,
2275,,no_clone,
2276,SelectSynchronizeResourceDialog_1,review with at least one clone,mesmo arquivo
2279,,no_clone,
2280,,no_clone,
2287,SourceBranchPage_9,review with at least one clone,arquivo diferente
2287,SelectSynchronizeResourceDialog_25,review with at least one clone,mesmo arquivo
2287,SWTUtils_6,review with at least one clone,arquivo diferente
2298,,no_clone,
2299,,no_clone,
2301,,no_clone,
2314,,uninteresting_clone,
2320,,no_clone,
2323,,uninteresting_clone,
2336,,no_clone,
2344,,no_clone,
2370,,no_clone,
2375,,no_clone,
2377,,no_clone,
2378,,no_clone,
2380,,no_clone,
2389,,no_clone,
2391,,no_clone,
2404,,no_clone,
2405,,no_clone,
2409,,no_clone,
2412,,no_clone,
2413,,no_clone,
2419,,no_clone,
2420,,no_clone,
2423,,no_clone,
2436,,no_clone,
2437,,no_clone,
2438,,no_clone,
2444,,no_clone,
2445,,no_clone,
2446,,no_clone,
2454,,no_clone,
2457,,no_clone,
2464,,no_clone,
2465,,no_clone,
2466,,no_clone,
2468,,no_clone,
2473,,no_clone,
2476,,no_clone,
2477,,no_clone,
2480,,no_clone,
2484,,no_clone,
2485,,no_clone,
2486,,no_clone,
2488,PushConfiguredRemoteCommand_16,review with at least one clone,arquivo diferente
2489,,no_clone,
2490,,no_clone,
2493,,no_clone,
2496,,no_clone,
2501,,no_clone,
2502,,no_clone,
2506,,no_clone,
2512,,no_clone,
2518,CommitMessageViewer_3,review with at least one clone,arquivo diferente
2522,,no_clone,
2524,,no_clone,
2525,,uninteresting_clone,
2526,,no_clone,
2528,,no_clone,
2530,,no_clone,
2532,,no_clone,
2533,,no_clone,
2548,,no_clone,
2549,,no_clone,
2550,,no_clone,
2551,,no_clone,
2552,,no_clone,
2553,,no_clone,
2554,,no_clone,
2555,,no_clone,
2558,,no_clone,
2563,,no_clone,
2565,,no_clone,
2567,,no_clone,
2568,,no_clone,
2570,,no_clone,
2571,,no_clone,
2579,,no_clone,
2589,,no_clone,
2590,RemoveCommand_2,review with at least one clone,mesmo arquivo
2590,RemoveCommand_1,review with at least one clone,mesmo arquivo
2591,,no_clone,
2592,,no_clone,
2593,,no_clone,
2598,,no_clone,
2601,,no_clone,
2602,,no_clone,
2618,,no_clone,
2624,,no_clone,
2625,,no_clone,
2626,,no_clone,
2627,,no_clone,
2636,,no_clone,
2653,,no_clone,
2654,,no_clone,
2665,,no_clone,
2669,,uninteresting_clone,
2692,,no_clone,
2694,,no_clone,
2695,,no_clone,
2696,,no_clone,
2703,,no_clone,
2718,,no_clone,
2726,,no_clone,
2738,,no_clone,
2753,,no_clone,
2756,,no_clone,
2759,,no_clone,
2765,,no_clone,
2769,,no_clone,
2770,,no_clone,
2772,,uninteresting_clone,
2781,,no_clone,
2789,,no_clone,
2790,,no_clone,
2791,,no_clone,
2793,,no_clone,
2795,,no_clone,
2796,,no_clone,
2877,,no_clone,
2883,,no_clone,
2887,,no_clone,
2892,,no_clone,
2894,,no_clone,
2895,,no_clone,
2896,,uninteresting_clone,
2900,,no_clone,
2901,,no_clone,
2906,,no_clone,
2907,,no_clone,
2908,,no_clone,
2913,,no_clone,
