review_number,block,categoria,tipo,duracao,distancia,move_block
60861,WorkbenchPage_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
61265,DirectContributionItem_1,individual,unique/ini,0.16666666666666666,0,arquivo diferente
61432,FilteredTree_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
61432,FilteredTree_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
61432,FilteredTree_2,recorrente,ini/mei/final,1.0,0,ambos
61468,PerspectiveBuilder_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
61762,WorkbenchImages_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
61762,WorkbenchImages_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
61842,PerspectiveBuilder_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
62194,Activator_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
62344,FilteredPreferenceDialog_0,recorrente,mei/final,0.75,0.5,mesmo arquivo
62344,MenuHelper_2,recorrente,mei/final,0.75,0.5,mesmo arquivo
62785,MessageDialog_4,recorrente,mei/final,0.3333333333333333,0.7777777777777778,mesmo arquivo
62785,MessageDialog_5,recorrente,mei/final,0.3333333333333333,0.7777777777777778,ambos
63299,WorkbenchPage_5,recorrente,ini/mei/final,1.0,0,mesmo arquivo
63474,PropertySheetAuto_1,recorrente,mei/final,0.6,0.6,mesmo arquivo
63709,EventBroker_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
63709,EventBroker_1,individual,unique/ini,0.5,0,mesmo arquivo
64214,WorkbenchPage_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
64243,HandlerUtil_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
64369,AreaRenderer_0,individual,unique/final,0.5,1.0,arquivo diferente
64498,AbstractWorkingSetManager_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
64498,AbstractWorkingSetManager_3,recorrente,mei/final,0.8333333333333334,0.3333333333333333,mesmo arquivo
64498,AbstractWorkingSetManager_0,recorrente,mei/final,0.3333333333333333,0.8333333333333334,mesmo arquivo
64752,NavigatorContentDescriptor_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
65348,IDE_0,recorrente,apa/des/apa,,0,mesmo arquivo
65348,IDE_0,recorrente,apa/des/apa,,0,mesmo arquivo
65348,IDE_3,individual,unique/ini,0.07142857142857142,0,mesmo arquivo
65348,IDE_1,recorrente,mei,0.14285714285714285,0.5714285714285714,mesmo arquivo
65348,IDE_2,recorrente,mei/final,0.35714285714285715,0.7142857142857143,mesmo arquivo
65513,EditorSelectionDialog_0,recorrente,mei/final,0.3333333333333333,0.8333333333333334,mesmo arquivo
65631,WorkbenchPage_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
65631,WorkbenchPage_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
66033,StackRenderer_1,individual,unique/ini,0.25,0,mesmo arquivo
66033,StackRenderer_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
66033,StackRenderer_3,individual,unique/ini,0.25,0,mesmo arquivo
66033,StackRenderer_4,individual,unique/ini,0.25,0,mesmo arquivo
66033,StackRenderer_7,recorrente,ini/mei/final,1.0,0,mesmo arquivo
66033,StackRenderer_9,recorrente,ini/mei/final,1.0,0,mesmo arquivo
66033,StackRenderer_2_rev_1,recorrente,mei/final,0.75,0.5,mesmo arquivo
66033,StackRenderer_4_rev_1,recorrente,mei/final,0.75,0.5,mesmo arquivo
66033,StackRenderer_5_rev_1,recorrente,mei/final,0.75,0.5,mesmo arquivo
67238,MenuAdditionCacheEntry_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
67238,MenuAdditionCacheEntry_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
67267,CompatibilityView_5,recorrente,mei,0.5,0.2,mesmo arquivo
67267,CompatibilityView_4_rev_6,recorrente,mei/final,0.4,0.7,mesmo arquivo
67277,PropertySheet_0,recorrente,mei/final,0.75,0.5,mesmo arquivo
67340,PerspectiveImpl_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
67340,PerspectiveImpl_1,recorrente,ini/mei/final,1.0,0,arquivo diferente
67340,PerspectiveImpl_2,recorrente,ini/mei/final,1.0,0,arquivo diferente
67399,CleanupAddon_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
68040,CommandServiceImpl_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
68040,HandledContributionItem_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,arquivo diferente
68098,MenuHelper_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
68098,MenuHelper_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
68098,MenuHelper_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
68098,MenuHelper_4,recorrente,ini/mei/final,1.0,0,mesmo arquivo
69010,WizardNewFileCreationPage_1,recorrente,ini/mei,0.4,0,arquivo diferente
69355,SizeCache_0,individual,unique/ini,0.043478260869565216,0,mesmo arquivo
69355,SizeCache_2,recorrente,mei,0.21739130434782608,0.08695652173913043,mesmo arquivo
69355,SizeCache_3,recorrente,mei,0.08695652173913043,0.30434782608695654,mesmo arquivo
69355,ColumnLayout_0,recorrente,mei/final,0.6521739130434783,0.391304347826087,arquivo diferente
69355,SizeCache_5,recorrente,mei,0.13043478260869565,0.391304347826087,mesmo arquivo
69355,SizeCache_6,individual,unique/mei,0.043478260869565216,0.5217391304347826,mesmo arquivo
69355,SizeCache_9,recorrente,mei,0.34782608695652173,0.5652173913043478,mesmo arquivo
69355,SizeCache_10,recorrente,mei/final,0.13043478260869565,0.9130434782608695,mesmo arquivo
69447,SmartImportRootWizardPage_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
69913,ActivityCategoryPreferencePage_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
69922,AbstractScrollHandler_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
69922,AbstractThemedScrollBarAdapter_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
70125,WBWRenderer_0,recorrente,mei/final,0.5,0.75,arquivo diferente
70194,SearchField_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
70275,SearchField_1,recorrente,mei/final,0.75,0.5,arquivo diferente
70278,SearchField_0,recorrente,ini/mei,0.5,0,mesmo arquivo
70325,SelectionChangedEvent_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
70327,MenuManagerRenderer_1,recorrente,ini/mei,0.3333333333333333,0,mesmo arquivo
70327,MenuManagerRenderer_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
70327,MenuManagerRenderer_3,recorrente,ini/mei/final,1.0,0,arquivo diferente
70327,MenuManagerRenderer_1_rev_3,recorrente,mei/final,0.6666666666666666,0.4444444444444444,mesmo arquivo
70331,MenuManagerRenderer_0,recorrente,mei/final,0.4444444444444444,0.6666666666666666,arquivo diferente
70332,MenuManagerRenderer_0,individual,unique/ini,0.5,0,mesmo arquivo
70332,MenuManagerRenderer_0_rev_1,individual,unique/final,0.5,1.0,arquivo diferente
70825,ShellElement_0,recorrente,mei/final,0.9166666666666666,0.16666666666666666,mesmo arquivo
70825,WidgetElement_2,recorrente,mei,0.5,0.16666666666666666,mesmo arquivo
