review_number,categoria,move_block
19846,,no_clone,
19847,,no_clone,
20818,,no_clone,
21140,,no_clone,
21378,,no_clone,
24968,,no_clone,
32336,AuthThreadMonitor_0,review with at least one clone,mesmo arquivo
32430,AuthThreadMonitor_0,review with at least one clone,mesmo arquivo
38346,,no_clone,
38918,,no_clone,
48015,,no_clone,
72269,,no_clone,
91951,,no_clone,
91955,,no_clone,
128662,,no_clone,
